assumption_name,year,base_value,source_category,source,rationale,downside_value,upside_value,guidance_low,guidance_high,notes
growth,2026,0.16327370471352354,GUIDANCE,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,"2026 $1,207m point outlook; subsequent reacceleration then maturity is judgment.",0.13327370471352354,0.19327370471352354,0.15,0.18,Downside/upside columns are parameter low/high; value impact may reverse.
growth,2027,0.18,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,"2026 $1,207m point outlook; subsequent reacceleration then maturity is judgment.",0.15,0.21,,,Downside/upside columns are parameter low/high; value impact may reverse.
growth,2028,0.16,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,"2026 $1,207m point outlook; subsequent reacceleration then maturity is judgment.",0.13,0.19,,,Downside/upside columns are parameter low/high; value impact may reverse.
growth,2029,0.13,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,"2026 $1,207m point outlook; subsequent reacceleration then maturity is judgment.",0.1,0.16,,,Downside/upside columns are parameter low/high; value impact may reverse.
growth,2030,0.1,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,"2026 $1,207m point outlook; subsequent reacceleration then maturity is judgment.",0.07,0.13,,,Downside/upside columns are parameter low/high; value impact may reverse.
gross_margin,2026,0.716,GUIDANCE,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 71.6% guidance; modest future recovery with AI delivery efficiency.,0.706,0.726,,,Downside/upside columns are parameter low/high; value impact may reverse.
gross_margin,2027,0.72,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 71.6% guidance; modest future recovery with AI delivery efficiency.,0.71,0.73,,,Downside/upside columns are parameter low/high; value impact may reverse.
gross_margin,2028,0.73,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 71.6% guidance; modest future recovery with AI delivery efficiency.,0.72,0.74,,,Downside/upside columns are parameter low/high; value impact may reverse.
gross_margin,2029,0.74,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 71.6% guidance; modest future recovery with AI delivery efficiency.,0.73,0.75,,,Downside/upside columns are parameter low/high; value impact may reverse.
gross_margin,2030,0.74,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 71.6% guidance; modest future recovery with AI delivery efficiency.,0.73,0.75,,,Downside/upside columns are parameter low/high; value impact may reverse.
rd_ex_sbc,2026,0.23,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"R&D remains largest investment; includes allocated D&A, excludes equity compensation.",0.22,0.24000000000000002,,,Downside/upside columns are parameter low/high; value impact may reverse.
rd_ex_sbc,2027,0.225,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"R&D remains largest investment; includes allocated D&A, excludes equity compensation.",0.215,0.23500000000000001,,,Downside/upside columns are parameter low/high; value impact may reverse.
