,0
year,2026.0
revenue,590.421
cost_of_revenue,160.585
gross_profit,429.836
rd,175.169
sm,79.256
ga,96.939
opex,351.364
ebit,78.472
interest_income,23.642
other_net,-1.1959999999999873
pretax,100.918
tax,24.3
net_income,76.618
da,8.438
sbc,72.857
capex_ppe,7.028
capex_software,5.587
cfo,239.031
cfi,-8.469
cff,-86.064
options_proceeds,2.338
withholding,18.799
investment_purchases,75.438
investment_maturities,79.584
cf_deferred_revenue_increase,8.897
cf_ar_increase,-31.848
cf_ap_increase,6.188
cf_accrued_increase,7.159
diluted_shares,50.08
cash,1180.887
short_investments,132.979
long_investments,102.693
ar,130.979
deferred_cost,102.689
prepaid,20.873
tax_receivable,2.707
ppe,42.619
intangibles,27.598
rou,74.83
goodwill,35.335
restricted_cash,2.735
dta,206.039
other_assets,10.99
assets,2073.953
ap,16.196
accrued,55.429
deferred_revenue,505.102
tax_payable,1.106
lease_noncurrent,86.136
dtl,0.242
liabilities,664.211
equity,1409.742
basic_shares,46.744
share_repurchases,69.603
cf_deferred_cost_increase,0.026
capex,12.614999999999998
investments,235.67200000000003
other_liabilities,4.707345624410664e-14
nwc,-322.186
