,DUOL,DUOL_adjusted,SPY,SPY_adjusted
2021-08,129.55999755859375,129.55999755859375,451.55999755859375,420.9964599609375
2021-09,166.36000061035156,166.36000061035156,429.1400146484375,401.375732421875
2021-10,173.69000244140625,173.69000244140625,459.25,429.5376281738281
2021-11,110.19000244140625,110.19000244140625,455.55999755859375,426.0863952636719
2021-12,106.11000061035156,106.11000061035156,474.9599914550781,445.7919006347656
2022-01,100.01000213623047,100.01000213623047,449.9100036621094,422.2802734375
2022-02,86.29000091552734,86.29000091552734,436.6300048828125,409.8158874511719
2022-03,95.11000061035156,95.11000061035156,451.6400146484375,425.2210388183594
2022-04,86.47000122070312,86.47000122070312,412.0,387.8997497558594
2022-05,83.61000061035156,83.61000061035156,412.92999267578125,388.7753601074219
2022-06,87.55000305175781,87.55000305175781,377.25,356.71673583984375
2022-07,91.75,91.75,411.989990234375,389.5658264160156
2022-08,94.0199966430664,94.0199966430664,395.17999267578125,373.67083740234375
2022-09,95.2300033569336,95.2300033569336,357.17999267578125,339.1264953613281
2022-10,81.83999633789062,81.83999633789062,386.2099914550781,366.6892395019531
2022-11,69.66999816894531,69.66999816894531,407.67999267578125,387.073974609375
2022-12,71.12999725341797,71.12999725341797,382.42999267578125,364.7676086425781
2023-01,95.48999786376953,95.48999786376953,406.4800109863281,387.7069396972656
2023-02,90.79000091552734,90.79000091552734,396.260009765625,377.9588317871094
2023-03,142.58999633789062,142.58999633789062,409.3900146484375,391.9728088378906
2023-04,136.16000366210938,136.16000366210938,415.92999267578125,398.2344665527344
2023-05,149.57000732421875,149.57000732421875,417.8500061035156,400.0728454589844
2023-06,142.94000244140625,142.94000244140625,443.2799987792969,425.9974670410156
2023-07,155.19000244140625,155.19000244140625,457.7900085449219,439.9417724609375
2023-08,147.16000366210938,147.16000366210938,450.3500061035156,432.7918701171875
2023-09,165.8699951171875,165.8699951171875,427.4800109863281,412.2625732421875
2023-10,146.0500030517578,146.0500030517578,418.20001220703125,403.31298828125
2023-11,212.2899932861328,212.2899932861328,456.3999938964844,440.153076171875
2023-12,226.85000610351562,226.85000610351562,475.30999755859375,460.2483825683594
2024-01,178.88999938964844,178.88999938964844,482.8800048828125,467.57855224609375
2024-02,239.0,239.0,508.0799865722656,491.97998046875
2024-03,220.5800018310547,220.5800018310547,523.0700073242188,508.0687255859375
2024-04,225.75,225.75,501.9800109863281,487.58355712890625
2024-05,191.39999389648438,191.39999389648438,527.3699951171875,512.245361328125
2024-06,208.6699981689453,208.6699981689453,544.219970703125,530.3175048828125
2024-07,171.94000244140625,171.94000244140625,550.8099975585938,536.7391967773438
2024-08,212.57000732421875,212.57000732421875,563.6799926757812,549.2803955078125
2024-09,282.0199890136719,282.0199890136719,573.760009765625,560.8178100585938
2024-10,292.9700012207031,292.9700012207031,568.6400146484375,555.8134155273438
2024-11,348.2699890136719,348.2699890136719,602.5499877929688,588.9584350585938
2024-12,324.2300109863281,324.2300109863281,586.0800170898438,574.7879638671875
2025-01,363.989990234375,363.989990234375,601.8200073242188,590.224609375
2025-02,312.07000732421875,312.07000732421875,594.1799926757812,582.73193359375
2025-03,310.5400085449219,310.5400085449219,559.3900146484375,550.2625732421875
2025-04,389.4800109863281,389.4800109863281,554.5399780273438,545.49169921875
2025-05,519.6099853515625,519.6099853515625,589.3900146484375,579.7730102539062
2025-06,410.0199890136719,410.0199890136719,617.8499755859375,609.5653686523438
2025-07,346.54998779296875,346.54998779296875,632.0800170898438,623.6045532226562
2025-08,297.8599853515625,297.8599853515625,645.0499877929688,636.400634765625
2025-09,321.8399963378906,321.8399963378906,666.1799926757812,659.0695190429688
2025-10,270.6400146484375,270.6400146484375,682.0599975585938,674.780029296875
2025-11,191.41000366210938,191.41000366210938,683.3900146484375,676.0958251953125
2025-12,175.5,175.5,681.9199829101562,676.635009765625
2026-01,134.05999755859375,134.05999755859375,691.969970703125,686.6071166992188
2026-02,101.0,101.0,685.989990234375,680.6734619140625
2026-03,98.56999969482422,98.56999969482422,650.3400268554688,647.0621337890625
2026-04,110.0999984741211,110.0999984741211,718.6599731445312,715.0377197265625
2026-05,111.36000061035156,111.36000061035156,756.47998046875,752.6671142578125
2026-06,115.0199966430664,115.0199966430664,746.77001953125,744.9202270507812
2026-07,134.80999755859375,134.80999755859375,747.030029296875,745.1796264648438
2026-08,148.36000061035156,148.36000061035156,767.0499877929688,765.1499633789062
