metric,end,start,value,source,tag
RevenueFromContractWithCustomerExcludingAssessedTax,2023-12-31,2023-01-01,531.109,SEC 0001628280-26-012494 (2026-02-27); companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax
CostOfRevenue,2023-12-31,2023-01-01,142.105,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CostOfRevenue
GrossProfit,2023-12-31,2023-01-01,389.004,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GrossProfit
ResearchAndDevelopmentExpense,2023-12-31,2023-01-01,194.352,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ResearchAndDevelopmentExpense
SellingAndMarketingExpense,2023-12-31,2023-01-01,75.788,SEC 0001628280-26-012494 (2026-02-27); companyfacts,SellingAndMarketingExpense
GeneralAndAdministrativeExpense,2023-12-31,2023-01-01,132.123,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GeneralAndAdministrativeExpense
OperatingExpenses,2023-12-31,2023-01-01,402.263,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingExpenses
OperatingIncomeLoss,2023-12-31,2023-01-01,-13.259,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingIncomeLoss
InterestIncomeOperating,2023-12-31,2023-01-01,31.091,SEC 0001628280-26-012494 (2026-02-27); companyfacts,InterestIncomeOperating
NonoperatingIncomeExpense,2023-12-31,2023-01-01,-0.055,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NonoperatingIncomeExpense
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2023-12-31,2023-01-01,17.777,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
IncomeTaxExpenseBenefit,2023-12-31,2023-01-01,1.71,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeTaxExpenseBenefit
NetIncomeLoss,2023-12-31,2023-01-01,16.067,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetIncomeLoss
DepreciationDepletionAndAmortization,2023-12-31,2023-01-01,7.095,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DepreciationDepletionAndAmortization
ShareBasedCompensation,2023-12-31,2023-01-01,95.221,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ShareBasedCompensation
PaymentsToAcquirePropertyPlantAndEquipment,2023-12-31,2023-01-01,3.191,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquirePropertyPlantAndEquipment
capex_software,2023-12-31,2023-01-01,10.493,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm; cash-flow statement p86; software AND acquired intangibles,
NetCashProvidedByUsedInOperatingActivities,2023-12-31,2023-01-01,153.614,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInOperatingActivities
NetCashProvidedByUsedInInvestingActivities,2023-12-31,2023-01-01,-13.584,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInInvestingActivities
NetCashProvidedByUsedInFinancingActivities,2023-12-31,2023-01-01,2.135,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInFinancingActivities
ProceedsFromStockOptionsExercised,2023-12-31,2023-01-01,13.617,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromStockOptionsExercised
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2023-12-31,2023-01-01,11.482,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation
PaymentsToAcquireInvestments,2023-12-31,2023-01-01,0.0,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquireInvestments
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2023-12-31,2023-01-01,0.0,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromSaleMaturityAndCollectionsOfInvestments
IncreaseDecreaseInContractWithCustomerLiability,2023-12-31,2023-01-01,91.642,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInContractWithCustomerLiability
IncreaseDecreaseInAccountsReceivable,2023-12-31,2023-01-01,42.247,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsReceivable
IncreaseDecreaseInAccountsPayable,2023-12-31,2023-01-01,1.261,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsPayable
IncreaseDecreaseInAccruedLiabilities,2023-12-31,2023-01-01,3.444,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccruedLiabilities
WeightedAverageNumberOfDilutedSharesOutstanding,2023-12-31,2023-01-01,46.522,SEC 0001628280-26-012494 (2026-02-27); companyfacts,WeightedAverageNumberOfDilutedSharesOutstanding
CashAndCashEquivalentsAtCarryingValue,2023-12-31,,747.61,SEC 0001562088-25-000042 (2025-02-28); companyfacts,CashAndCashEquivalentsAtCarryingValue
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,2023-12-31,,0.0,SEC 0001562088-25-000042 (2025-02-28); companyfacts,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent
LongTermInvestments,2023-12-31,,0.0,SEC 0001562088-25-000042 (2025-02-28); companyfacts,LongTermInvestments
AccountsReceivableNetCurrent,2023-12-31,,88.975,SEC 0001562088-25-000042 (2025-02-28); companyfacts,AccountsReceivableNetCurrent
CapitalizedContractCostNetCurrent,2023-12-31,,53.931,SEC 0001562088-25-000042 (2025-02-28); companyfacts,CapitalizedContractCostNetCurrent
PrepaidExpenseAndOtherAssetsCurrent,2023-12-31,,7.282,SEC 0001562088-25-000042 (2025-02-28); companyfacts,PrepaidExpenseAndOtherAssetsCurrent
IncomeTaxReceivable,2023-12-31,,0.0,Absent line confirmed from filing; no balance/activity,
PropertyPlantAndEquipmentNet,2023-12-31,,11.792,SEC 0001562088-25-000042 (2025-02-28); companyfacts,PropertyPlantAndEquipmentNet
IntangibleAssetsNetExcludingGoodwill,2023-12-31,,15.995,SEC 0001562088-25-000042 (2025-02-28); companyfacts,IntangibleAssetsNetExcludingGoodwill
OperatingLeaseRightOfUseAsset,2023-12-31,,19.103,SEC 0001562088-25-000042 (2025-02-28); companyfacts,OperatingLeaseRightOfUseAsset
Goodwill,2023-12-31,,4.05,SEC 0001562088-25-000042 (2025-02-28); companyfacts,Goodwill
RestrictedCashNoncurrent,2023-12-31,,2.735,SEC 0001562088-25-000042 (2025-02-28); companyfacts,RestrictedCashNoncurrent
DeferredIncomeTaxAssetsNet,2023-12-31,,0.766,SEC 0001562088-25-000042 (2025-02-28); companyfacts,DeferredIncomeTaxAssetsNet
OtherAssetsNoncurrent,2023-12-31,,1.718,SEC 0001562088-25-000042 (2025-02-28); companyfacts,OtherAssetsNoncurrent
Assets,2023-12-31,,953.957,SEC 0001562088-25-000042 (2025-02-28); companyfacts,Assets
AccountsPayableCurrent,2023-12-31,,2.447,SEC 0001562088-25-000042 (2025-02-28); companyfacts,AccountsPayableCurrent
AccruedLiabilitiesCurrent,2023-12-31,,24.931,SEC 0001562088-25-000042 (2025-02-28); companyfacts,AccruedLiabilitiesCurrent
ContractWithCustomerLiabilityCurrent,2023-12-31,,249.192,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ContractWithCustomerLiabilityCurrent
AccruedIncomeTaxesCurrent,2023-12-31,,0.792,SEC 0001562088-25-000042 (2025-02-28); companyfacts,AccruedIncomeTaxesCurrent
OperatingLeaseLiabilityNoncurrent,2023-12-31,,21.094,SEC 0001562088-25-000042 (2025-02-28); companyfacts,OperatingLeaseLiabilityNoncurrent
DeferredIncomeTaxLiabilitiesNet,2023-12-31,,0.0,SEC 0001562088-25-000042 (2025-02-28); companyfacts,DeferredIncomeTaxLiabilitiesNet
Liabilities,2023-12-31,,298.456,SEC 0001562088-25-000042 (2025-02-28); companyfacts,Liabilities
StockholdersEquity,2023-12-31,,655.501,SEC 0001628280-26-012494 (2026-02-27); companyfacts,StockholdersEquity
RevenueFromContractWithCustomerExcludingAssessedTax,2024-12-31,2024-01-01,748.024,SEC 0001628280-26-012494 (2026-02-27); companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax
CostOfRevenue,2024-12-31,2024-01-01,203.645,SEC 0001628280-26-012494 (2026-02-27); companyfacts,CostOfRevenue
GrossProfit,2024-12-31,2024-01-01,544.379,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GrossProfit
ResearchAndDevelopmentExpense,2024-12-31,2024-01-01,235.298,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ResearchAndDevelopmentExpense
SellingAndMarketingExpense,2024-12-31,2024-01-01,90.494,SEC 0001628280-26-012494 (2026-02-27); companyfacts,SellingAndMarketingExpense
GeneralAndAdministrativeExpense,2024-12-31,2024-01-01,155.992,SEC 0001628280-26-012494 (2026-02-27); companyfacts,GeneralAndAdministrativeExpense
OperatingExpenses,2024-12-31,2024-01-01,481.784,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingExpenses
OperatingIncomeLoss,2024-12-31,2024-01-01,62.595,SEC 0001628280-26-012494 (2026-02-27); companyfacts,OperatingIncomeLoss
InterestIncomeOperating,2024-12-31,2024-01-01,42.697,SEC 0001628280-26-012494 (2026-02-27); companyfacts,InterestIncomeOperating
NonoperatingIncomeExpense,2024-12-31,2024-01-01,-2.986,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NonoperatingIncomeExpense
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2024-12-31,2024-01-01,102.306,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
IncomeTaxExpenseBenefit,2024-12-31,2024-01-01,13.732,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncomeTaxExpenseBenefit
NetIncomeLoss,2024-12-31,2024-01-01,88.574,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetIncomeLoss
DepreciationDepletionAndAmortization,2024-12-31,2024-01-01,10.854,SEC 0001628280-26-012494 (2026-02-27); companyfacts,DepreciationDepletionAndAmortization
ShareBasedCompensation,2024-12-31,2024-01-01,110.477,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ShareBasedCompensation
PaymentsToAcquirePropertyPlantAndEquipment,2024-12-31,2024-01-01,12.116,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquirePropertyPlantAndEquipment
capex_software,2024-12-31,2024-01-01,9.024,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm; cash-flow statement p86; software AND acquired intangibles,
NetCashProvidedByUsedInOperatingActivities,2024-12-31,2024-01-01,285.513,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInOperatingActivities
NetCashProvidedByUsedInInvestingActivities,2024-12-31,2024-01-01,-217.33,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInInvestingActivities
NetCashProvidedByUsedInFinancingActivities,2024-12-31,2024-01-01,-30.002,SEC 0001628280-26-012494 (2026-02-27); companyfacts,NetCashProvidedByUsedInFinancingActivities
ProceedsFromStockOptionsExercised,2024-12-31,2024-01-01,19.356,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromStockOptionsExercised
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2024-12-31,2024-01-01,49.358,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation
PaymentsToAcquireInvestments,2024-12-31,2024-01-01,193.3,SEC 0001628280-26-012494 (2026-02-27); companyfacts,PaymentsToAcquireInvestments
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2024-12-31,2024-01-01,3.705,SEC 0001628280-26-012494 (2026-02-27); companyfacts,ProceedsFromSaleMaturityAndCollectionsOfInvestments
IncreaseDecreaseInContractWithCustomerLiability,2024-12-31,2024-01-01,123.692,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInContractWithCustomerLiability
IncreaseDecreaseInAccountsReceivable,2024-12-31,2024-01-01,39.917,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsReceivable
IncreaseDecreaseInAccountsPayable,2024-12-31,2024-01-01,3.934,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccountsPayable
IncreaseDecreaseInAccruedLiabilities,2024-12-31,2024-01-01,16.85,SEC 0001628280-26-012494 (2026-02-27); companyfacts,IncreaseDecreaseInAccruedLiabilities
WeightedAverageNumberOfDilutedSharesOutstanding,2024-12-31,2024-01-01,47.101,SEC 0001628280-26-012494 (2026-02-27); companyfacts,WeightedAverageNumberOfDilutedSharesOutstanding
