,2026,2027,2028,2029,2030
cash,1287.5734941060887,1658.641194071096,2119.82310984675,2674.250978275742,3307.3850764994204
short_investments,132.979,132.979,132.979,132.979,132.979
long_investments,102.693,102.693,102.693,102.693,102.693
ar,189.41236751738887,223.50659367051887,259.2676486578019,292.9724429833161,322.2696872816477
deferred_cost,119.42516834700444,140.92169864946524,163.46917043337967,184.72016258971902,203.19217884869093
prepaid,19.289404571559647,22.761497394440383,26.40333697755084,29.835770784632448,32.81934786309569
tax_receivable,2.707,2.707,2.707,2.707,2.707
ppe,50.29847173420876,62.89753988160338,77.15731725766425,93.0320880152391,110.33652156446684
intangibles,30.87339261670475,36.129924403388074,42.58264295085763,50.11299258687215,58.55419147059273
rou,74.83,74.83,74.83,74.83,74.83
goodwill,35.335,35.335,35.335,35.335,35.335
restricted_cash,2.735,2.735,2.735,2.735,2.735
dta,206.039,206.039,206.039,206.039,206.039
other_assets,10.99,10.99,10.99,10.99,10.99
assets,2265.1802988929553,2713.1664480705117,3257.011226124004,3893.232435235521,4602.865003527914
ap,9.30386309029876,10.978558446552537,12.735127798000944,14.390694411741064,15.829763852915171
accrued,53.14764902095146,62.714225844722726,72.74850197987836,82.20580723726255,90.42638796098879
deferred_revenue,574.2049999999999,677.5618999999999,785.9718039999999,888.1481385199999,976.9629523719998
tax_payable,1.106,1.106,1.106,1.106,1.106
lease_noncurrent,86.136,86.136,86.136,86.136,86.136
dtl,0.242,0.242,0.242,0.242,0.242
other_liabilities,4.707345624410664e-14,4.707345624410664e-14,4.707345624410664e-14,4.707345624410664e-14,4.707345624410664e-14
liabilities,724.1405121112502,838.7386842912753,958.9394337778792,1072.2286401690035,1170.7031041859038
equity,1541.039786781705,1874.4277637792368,2298.071792346125,2821.0037950665183,3432.161899342011
