,2026,2027,2028,2029,2030
cfo,400.0337181039275,469.0560843058859,569.8456274513344,671.564682622007,755.766095835439
capex_ppe,19.746872065280765,24.839709133385185,28.814062594726813,32.5598907320413,35.81587980524543
capex_software,12.125664170165063,12.769883624440894,14.813065004351436,16.73876345491712,18.412639800408833
cfi,-27.726536235445828,-37.60959275782608,-43.62712759907825,-49.29865418695842,-54.22851960565426
cff,-121.12268776239294,-60.378791583052596,-65.03658407660235,-67.838160006056,-68.40347800610647
cash,1287.5734941060887,1658.641194071096,2119.82310984675,2674.250978275742,3307.3850764994204
period_cfo,161.0027181039275,469.0560843058859,569.8456274513344,671.564682622007,755.766095835439
period_cfi,-19.25753623544583,-37.60959275782608,-43.62712759907825,-49.29865418695842,-54.22851960565426
period_cff,-35.05868776239295,-60.378791583052596,-65.03658407660235,-67.838160006056,-68.40347800610647
period_sbc,108.19299999999998,199.39640000000003,214.77840799999998,224.03040095999998,225.89732096799997
period_withholding,32.76168776239294,60.378791583052596,65.03658407660235,67.838160006056,68.40347800610647
period_buybacks,2.2970000000000113,0.0,0.0,0.0,0.0
period_option_proceeds,0.0,0.0,0.0,0.0,0.0
