,2026,2027,2028,2029,2030
revenue,1207.0,1424.26,1652.1416,1866.9200079999998,2053.6120088
cost_of_revenue,342.788,398.79279999999994,446.07823200000007,485.3992020799999,533.9391222879999
gross_profit,864.212,1025.4672,1206.0633679999999,1381.52080592,1519.6728865119999
rd,404.345,460.03598,513.8160376,558.2090823919999,589.3866465255999
sm,175.015,197.97214,219.7348328,237.098841016,248.48705306479997
ga,162.945,182.30528000000004,199.9091336,212.828880912,219.7364849416
opex,742.3050000000001,840.3134,933.4600039999999,1008.1368043199999,1057.610184532
ebit,121.90699999999994,185.15380000000005,272.60336399999994,373.38400160000003,462.06270197999993
interest_income,56.7378875580238,70.59668497445276,87.79427368880341,109.16831651374868,134.8639576431574
other_net,-1.1959999999999873,0.0,0.0,0.0,0.0
pretax,177.44888755802376,255.7504849744528,360.39763768880334,482.5523181137487,596.9266596231573
tax,42.667413013925696,61.38011639386867,86.4954330453128,115.81255634729968,143.26239830955774
net_income,134.78147454409805,194.37036858058414,273.90220464349056,366.739761766449,453.6642613135996
sbc,181.04999999999998,199.39640000000003,214.77840799999998,224.03040095999998,225.89732096799997
da,16.74067188453232,19.753992823748135,22.914631675547835,25.893533793369052,28.482887172705958
