,assumption,parameter_low,parameter_high,low_parameter_price,high_parameter_price,downside,base,upside,down_change,up_change,absolute_sensitivity,percentage_sensitivity,status
23,wacc,"[0.07276376244240655, 0.07276376244240655, 0.07276376244240655, 0.07276376244240655, 0.07276376244240655]","[0.09276376244240654, 0.09276376244240654, 0.09276376244240654, 0.09276376244240654, 0.09276376244240654]",163.86695763363107,118.52407816531372,118.52407816531372,136.88914036795543,163.86695763363107,-18.36506220264171,26.97781726567564,45.34287946831735,0.3312379590260889,ALL CHECKS PASS
0,growth,"[0.13327370471352354, 0.15, 0.13, 0.1, 0.07]","[0.19327370471352354, 0.21, 0.19, 0.16, 0.13]",122.90309406563307,152.37265166749566,122.90309406563307,136.88914036795543,152.37265166749566,-13.986046302322364,15.483511299540226,29.46955760186259,0.2152804636120073,ALL CHECKS PASS
5,sbc_ratio,"[0.13, 0.12000000000000001, 0.11, 0.09999999999999999, 0.09]","[0.16999999999999998, 0.16, 0.15, 0.13999999999999999, 0.13]",147.4670339807968,126.31124675511415,126.31124675511415,136.88914036795543,147.4670339807968,-10.57789361284128,10.577893612841365,21.155787225682644,0.1545468630222696,ALL CHECKS PASS
22,terminal_growth,"[0.024999999999999998, 0.024999999999999998, 0.024999999999999998, 0.024999999999999998, 0.024999999999999998]","[0.034999999999999996, 0.034999999999999996, 0.034999999999999996, 0.034999999999999996, 0.034999999999999996]",127.77611995868689,147.91009682398263,127.77611995868689,136.88914036795543,147.91009682398263,-9.113020409268543,11.020956456027193,20.133976865295736,0.14708235299875494,ALL CHECKS PASS
2,rd_ex_sbc,"[0.22, 0.215, 0.21, 0.205, 0.19999999999999998]","[0.24000000000000002, 0.23500000000000001, 0.23, 0.225, 0.22]",142.17808717437615,131.6001935615348,131.6001935615348,136.88914036795543,142.17808717437615,-5.2889468064206255,5.288946806420711,10.577893612841336,0.0772734315111349,ALL CHECKS PASS
3,sm_ex_sbc,"[0.12000000000000001, 0.115, 0.11, 0.10500000000000001, 0.1]","[0.14, 0.135, 0.13, 0.125, 0.12]",142.17808717437612,131.6001935615348,131.6001935615348,136.88914036795543,142.17808717437612,-5.2889468064206255,5.288946806420682,10.577893612841308,0.0772734315111347,ALL CHECKS PASS
4,ga_ex_sbc,"[0.095, 0.09000000000000001, 0.085, 0.08, 0.07500000000000001]","[0.11499999999999999, 0.11, 0.105, 0.09999999999999999, 0.095]",142.17808717437612,131.60019356153484,131.60019356153484,136.88914036795543,142.17808717437612,-5.288946806420597,5.288946806420682,10.57789361284128,0.07727343151113449,ALL CHECKS PASS
1,gross_margin,"[0.706, 0.71, 0.72, 0.73, 0.73]","[0.726, 0.73, 0.74, 0.75, 0.75]",131.6001935615348,142.17808717437606,131.6001935615348,136.88914036795543,142.17808717437606,-5.2889468064206255,5.2889468064206255,10.577893612841251,0.07727343151113428,ALL CHECKS PASS
7,capex_ratio,"[0.021406409474271606, 0.021406409474271606, 0.021406409474271606, 0.021406409474271606, 0.021406409474271606]","[0.031406409474271604, 0.031406409474271604, 0.031406409474271604, 0.031406409474271604, 0.031406409474271604]",140.36871063533746,133.40957010057343,133.40957010057343,136.88914036795543,140.36871063533746,-3.4795702673820017,3.47957026738203,6.959140534764032,0.0508377838889045,ALL CHECKS PASS
8,tax_rate,"[0.22, 0.22, 0.22, 0.22, 0.22]","[0.26, 0.26, 0.26, 0.26, 0.26]",139.84269321372366,133.93558752218718,133.93558752218718,136.88914036795543,139.84269321372366,-2.9535528457682574,2.953552845768229,5.907105691536486,0.04315247853597661,ALL CHECKS PASS
21,diluted_shares,"[49.7, 49.7, 49.7, 49.7, 49.7]","[51.7, 51.7, 51.7, 51.7, 51.7]",139.64344902727044,134.24138136664104,134.24138136664104,136.88914036795543,139.64344902727044,-2.647759001314398,2.754308659315001,5.402067660629399,0.03946308411396801,ALL CHECKS PASS
14,deferred_revenue_ratio,"[0.4457290803645402, 0.4457290803645402, 0.4457290803645402, 0.4457290803645402, 0.4457290803645402]","[0.5057290803645401, 0.5057290803645401, 0.5057290803645401, 0.5057290803645401, 0.5057290803645401]",135.28669375169292,138.49158698421797,135.28669375169292,136.88914036795543,138.49158698421797,-1.6024466162625117,1.6024466162625401,3.204893232525052,0.023412326382577602,ALL CHECKS PASS
6,da_ratio,"[0.01186965359116182, 0.01186965359116182, 0.01186965359116182, 0.01186965359116182, 0.01186965359116182]","[0.01586965359116182, 0.01586965359116182, 0.01586965359116182, 0.01586965359116182, 0.01586965359116182]",135.49731226100263,138.28096847490824,135.49731226100263,136.88914036795543,138.28096847490824,-1.3918281069528007,1.3918281069528007,2.7836562139056014,0.020335113555561717,ALL CHECKS PASS
9,ar_ratio,"[0.13692822495226917, 0.13692822495226917, 0.13692822495226917, 0.13692822495226917, 0.13692822495226917]","[0.17692822495226915, 0.17692822495226915, 0.17692822495226915, 0.17692822495226915, 0.17692822495226915]",137.95743811213046,135.8208426237804,135.8208426237804,136.88914036795543,137.95743811213046,-1.0682977441750268,1.0682977441750268,2.1365954883500535,0.015608217588385207,ALL CHECKS PASS
13,accrued_ratio,"[0.0340328492302829, 0.0340328492302829, 0.0340328492302829, 0.0340328492302829, 0.0340328492302829]","[0.054032849230282905, 0.054032849230282905, 0.054032849230282905, 0.054032849230282905, 0.054032849230282905]",136.35499149586792,137.42328924004298,136.35499149586792,136.88914036795543,137.42328924004298,-0.5341488720875134,0.5341488720875418,1.0682977441750552,0.007804108794192811,ALL CHECKS PASS
10,deferred_cost_ratio,"[0.08894380144739392, 0.08894380144739392, 0.08894380144739392, 0.08894380144739392, 0.08894380144739392]","[0.1089438014473939, 0.1089438014473939, 0.1089438014473939, 0.1089438014473939, 0.1089438014473939]",137.42328924004298,136.35499149586792,136.35499149586792,136.88914036795543,137.42328924004298,-0.5341488720875134,0.5341488720875418,1.0682977441750552,0.007804108794192811,ALL CHECKS PASS
16,minimum_cash,"[75.0, 75.0, 75.0, 75.0, 75.0]","[125.0, 125.0, 125.0, 125.0, 125.0]",137.38223701489824,136.39604372101263,136.39604372101263,136.88914036795543,137.38223701489824,-0.49309664694280286,0.49309664694280286,0.9861932938856057,0.0072043208923274465,ALL CHECKS PASS
11,prepaid_ratio,"[0.010981279678177004, 0.010981279678177004, 0.010981279678177004, 0.010981279678177004, 0.010981279678177004]","[0.020981279678177006, 0.020981279678177006, 0.020981279678177006, 0.020981279678177006, 0.020981279678177006]",137.15621480399918,136.6220659319117,136.6220659319117,136.88914036795543,137.15621480399918,-0.2670744360437425,0.2670744360437425,0.534148872087485,0.003902054397096094,ALL CHECKS PASS
12,ap_ratio,"[0.004708254424439735, 0.004708254424439735, 0.004708254424439735, 0.004708254424439735, 0.004708254424439735]","[0.010708254424439735, 0.010708254424439735, 0.010708254424439735, 0.010708254424439735, 0.010708254424439735]",136.72889570632918,137.04938502958169,136.72889570632918,136.88914036795543,137.04938502958169,-0.16024466162625117,0.16024466162625117,0.32048932325250234,0.0023412326382577396,ALL CHECKS PASS
15,investment_yield,"[0.03634622931603167, 0.03634622931603167, 0.03634622931603167, 0.03634622931603167, 0.03634622931603167]","[0.05634622931603167, 0.05634622931603167, 0.05634622931603167, 0.05634622931603167, 0.05634622931603167]",136.84085389003266,136.93742684587824,136.84085389003266,136.88914036795543,136.93742684587824,-0.04828647792277252,0.04828647792280094,0.09657295584557346,0.000705482959320127,ALL CHECKS PASS
19,withholding_ratio,"[0.2528078319520944, 0.2528078319520944, 0.2528078319520944, 0.2528078319520944, 0.2528078319520944]","[0.35280783195209436, 0.35280783195209436, 0.35280783195209436, 0.35280783195209436, 0.35280783195209436]",136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,0.0,0.0,0.0,0.0,ALL CHECKS PASS
18,option_proceeds,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0, 5.0]",136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,0.0,0.0,0.0,0.0,ALL CHECKS PASS
17,buybacks,"[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 10.0, 10.0, 10.0, 10.0]",136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,0.0,0.0,0.0,0.0,ALL CHECKS PASS
20,ppe_capex_share,"[0.6104620606591481, 0.6104620606591481, 0.6104620606591481, 0.6104620606591481, 0.6104620606591481]","[0.7104620606591482, 0.7104620606591482, 0.7104620606591482, 0.7104620606591482, 0.7104620606591482]",136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,136.88914036795543,0.0,0.0,0.0,0.0,ALL CHECKS PASS
