,check_name,year,value,tolerance,status,notes
0,Historical balance,2023,0.0,0.005,PASS,USD millions
1,Historical gross profit,2023,0.0,0.005,PASS,USD millions
2,Historical EBIT,2023,2.842170943040401e-14,0.005,PASS,USD millions
3,Historical net income,2023,0.0,0.005,PASS,USD millions
4,Historical assets sum,2023,0.0,0.005,PASS,
5,Historical liabilities sum,2023,-5.684341886080802e-14,0.005,PASS,
6,Historical balance,2024,1.1368683772161603e-13,0.005,PASS,USD millions
7,Historical gross profit,2024,0.0,0.005,PASS,USD millions
8,Historical EBIT,2024,2.842170943040401e-14,0.005,PASS,USD millions
9,Historical net income,2024,0.0,0.005,PASS,USD millions
10,Historical assets sum,2024,0.0,0.005,PASS,
11,Historical liabilities sum,2024,0.0,0.005,PASS,
12,Historical cash bridge,2024,7.460698725481052e-14,0.005,PASS,
13,Historical balance,2025,-2.2737367544323206e-13,0.005,PASS,USD millions
14,Historical gross profit,2025,-1.1368683772161603e-13,0.005,PASS,USD millions
15,Historical EBIT,2025,0.0,0.005,PASS,USD millions
16,Historical net income,2025,0.0,0.005,PASS,USD millions
17,Historical assets sum,2025,0.0,0.005,PASS,
18,Historical liabilities sum,2025,-1.1368683772161603e-13,0.005,PASS,
19,Historical cash bridge,2025,-1.3855583347321954e-13,0.005,PASS,
20,Balance sheet,2026,-2.2737367544323206e-13,1e-07,PASS,
21,Assets total,2026,-4.547473508864641e-13,1e-07,PASS,
22,Liabilities total,2026,-2.2737367544323206e-13,1e-07,PASS,
23,Cash reconciliation,2026,1.4210854715202004e-14,1e-07,PASS,
24,PPE roll-forward,2026,-2.6645352591003757e-15,1e-07,PASS,
25,Intangibles roll-forward,2026,8.881784197001252e-16,1e-07,PASS,
26,Equity roll-forward,2026,1.4210854715202004e-14,1e-07,PASS,
27,Income statement,2026,4.263256414560601e-14,1e-07,PASS,
28,CFO construction,2026,0.0,1e-07,PASS,
29,UFCF construction,2026,0.0,1e-07,PASS,
30,NWC roll-forward,2026,0.0,1e-07,PASS,
31,Debt roll-forward,2026,0.0,1e-07,PASS,
32,Minimum cash,2026,1187.5734941060887,1e-07,PASS,No assumed financing plug
33,No invalid values,2026,1.0,1e-07,PASS,
34,Economically valid balances,2026,4.707345624410664e-14,1e-07,PASS,Losses and negative working capital are allowed
35,Valid assumption: accrued_ratio,all,1.0,1e-07,PASS,
36,Valid assumption: ap_ratio,all,1.0,1e-07,PASS,
37,Valid assumption: ar_ratio,all,1.0,1e-07,PASS,
38,Valid assumption: buybacks,all,1.0,1e-07,PASS,
39,Valid assumption: capex_ratio,all,1.0,1e-07,PASS,
40,Valid assumption: da_ratio,all,1.0,1e-07,PASS,
41,Valid assumption: deferred_cost_ratio,all,1.0,1e-07,PASS,
42,Valid assumption: deferred_revenue_ratio,all,1.0,1e-07,PASS,
43,Valid assumption: diluted_shares,all,1.0,1e-07,PASS,
44,Valid assumption: ga_ex_sbc,all,1.0,1e-07,PASS,
45,Valid assumption: gross_margin,all,1.0,1e-07,PASS,
46,Valid assumption: growth,all,1.0,1e-07,PASS,
47,Valid assumption: investment_yield,all,1.0,1e-07,PASS,
48,Valid assumption: minimum_cash,all,1.0,1e-07,PASS,
49,Valid assumption: option_proceeds,all,1.0,1e-07,PASS,
50,Valid assumption: ppe_capex_share,all,1.0,1e-07,PASS,
51,Valid assumption: prepaid_ratio,all,1.0,1e-07,PASS,
52,Valid assumption: rd_ex_sbc,all,1.0,1e-07,PASS,
53,Valid assumption: sbc_ratio,all,1.0,1e-07,PASS,
54,Valid assumption: sm_ex_sbc,all,1.0,1e-07,PASS,
55,Valid assumption: tax_rate,all,1.0,1e-07,PASS,
56,Valid assumption: terminal_growth,all,1.0,1e-07,PASS,
57,Valid assumption: wacc,all,1.0,1e-07,PASS,
58,Valid assumption: withholding_ratio,all,1.0,1e-07,PASS,
59,WACC > terminal growth,terminal,0.05276376244240655,1e-07,PASS,
