,2026
cash,1287.5734941060887
short_investments,132.979
long_investments,102.693
ar,189.41236751738887
deferred_cost,119.42516834700444
prepaid,19.289404571559647
tax_receivable,2.707
ppe,50.29847173420876
intangibles,30.87339261670475
rou,74.83
goodwill,35.335
restricted_cash,2.735
dta,206.039
other_assets,10.99
ap,9.30386309029876
accrued,53.14764902095146
deferred_revenue,574.2049999999999
tax_payable,1.106
lease_noncurrent,86.136
dtl,0.242
other_liabilities,4.707345624410664e-14
assets,2265.1802988929553
liabilities,724.1405121112502
equity,1541.039786781705
nwc,-308.5295716752971
period_revenue,616.579
period_gross_profit,434.376
period_sbc,108.19299999999998
period_da,8.302671884532318
period_capex,19.25753623544583
period_rd,229.17600000000002
period_sm,95.75899999999999
period_ga,66.006
period_cost_of_revenue,182.20299999999997
period_opex,390.94100000000003
period_ebit,43.434999999999945
period_interest_income,33.0958875580238
period_other_net,0.0
period_pretax,76.53088755802375
period_tax,18.3674130139257
period_net_income,58.16347454409805
delta_nwc,13.656428324702858
period_capex_ppe,12.718872065280767
period_capex_software,6.538664170165063
period_da_ppe,5.039400331072003
period_da_intangibles,3.2632715534603145
period_cfo,161.0027181039275
period_cfi,-19.25753623544583
period_withholding,32.76168776239294
period_buybacks,2.2970000000000113
period_option_proceeds,0.0
period_cff,-35.05868776239295
nopat,33.01059999999996
ufcf,8.399307324383589
revenue,1207.0
cost_of_revenue,342.788
gross_profit,864.212
rd,404.345
sm,175.015
ga,162.945
opex,742.3050000000001
ebit,121.90699999999994
interest_income,56.7378875580238
other_net,-1.1959999999999873
pretax,177.44888755802376
tax,42.667413013925696
net_income,134.78147454409805
sbc,181.04999999999998
da,16.74067188453232
capex,31.87253623544583
capex_ppe,19.746872065280765
capex_software,12.125664170165063
cfo,400.0337181039275
cfi,-27.726536235445828
cff,-121.12268776239294
operating_margin,0.10099999999999995
minimum_cash,100.0
debt,0.0
financing_draw,0.0
annual_ufcf,118.2280273243836
